60 1
33 -822 93
418 26 10
898 -104 31
-146 980 18
359 908 76
-744 -764 80
-103 -531 11
316 681 74
226 206 35
-961 -792 80
-629 -705 1
-494 -169 31
-921 348 96
-100 -970 99
131 -766 32
987 968 33
-929 -119 84
-562 -229 28
362 -738 9
643 -131 21
-33 964 20
765 910 25
338 -689 38
-518 663 4
796 716 6
-465 835 59
88 -49 54
-159 326 35
-925 97 27
496 921 95
526 785 58
-939 119 30
-994 510 58
513 -18 66
943 107 75
-940 629 55
529 618 7
-497 -538 52
496 -499 69
768 714 54
-477 883 15
-116 -362 82
389 818 8
-124 -523 57
-651 -58 61
-85 947 5
-789 651 90
-88 154 43
-412 -516 69
-424 -80 43
-603 371 99
393 450 99
-209 -25 55
673 -926 43
-636 787 42
-84 -584 96
427 759 58
-120 675 40
176 244 55
471 434 33
