140 140
341785798 449405729 -99462892
-290431148 -217190021 -266176799
507068691 566961707 -730151341
-313334446 188945898 -94617807
-227970123 -18437180 -690439085
-848004421 -733588526 38279685
-896886027 -849372417 51828852
304923557 341068897 -36805545
797811581 935023814 830121456
-658310110 -481260142 -152631445
91946887 455733540 -94599803
-801584011 -789677116 -281132915
-526502795 -460723300 -145858991
-608260336 -444422631 -4246797
-601270834 -508283627 -92952079
-329926472 -105921666 -107080960
-881963475 -761323697 44493130
-999385713 -927117052 582856290
-422341222 -368009205 -620395053
-664145434 -23214534 -654455811
-712273256 -664532761 -170371488
813691471 868298077 662170510
-368346118 -17932855 32243829
-236784625 480098678 -691260256
-692383333 -576066116 -223578701
-544980216 -425137868 -589714842
13138127 463673048 30470580
-895381752 -703759290 39939714
867864442 891294259 825156394
341956498 416055936 -153217629
-273423071 280315911 -269106963
-102877201 162108527 30588322
-134934012 91214764 -115699237
-444463853 -420302091 37754680
702268045 793056956 288703103
-323333854 478206383 31003307
-502386231 -444006542 27770193
205482908 242649938 30867694
-848407592 -753625719 39423605
-971653182 -918393134 -81195834
-920729636 -898358863 -141800023
564273895 761614821 544890660
797150820 878264125 823975231
-873101507 -812433280 44475237
643565407 732870302 -159856094
-334322099 -75585743 -622826604
736779494 761322145 567522884
-331233076 283249195 -273066150
200944685 462595844 30924336
-412571824 379290298 -645488538
136449993 478162001 197334664
-456115527 240885292 30717487
-800962316 -757177670 -19515806
-108039986 461739735 30214838
534406128 557592083 -734910363
-664775017 -426781461 -587938150
-895610956 -865191683 44429765
-812453813 -725236219 -450558927
481093838 628865861 107406425
285246331 373457848 30970788
-922950353 -757198681 23714765
92433980 192729400 -94615306
-494484568 -370881049 -577720816
-481190944 -251569293 29766631
-508311228 -18109551 675652842
-899072249 -887052885 58000781
695008566 907421360 299486743
-172729787 410880748 -171298010
296250543 469407206 30451632
815182425 868304229 714684883
-473517445 -64495308 32288617
-999329882 -921531745 30804907
-292015350 341280430 -94584599
-707862986 -671402767 -247203989
-492049091 251375226 -94577317
-810372935 -749125632 39268043
-493576076 -45499117 -564057809
36016081 163579756 30471891
350914989 379245868 -452033333
547891501 876257424 817333913
-880097362 -865578354 44447226
-803662346 -664228769 38914336
530169464 608410036 -738151334
-812137002 -774010811 -339009183
-419992264 -370027219 -600051202
967719553 985280572 908449435
-321343200 9838282 31211884
610092764 787023137 327593936
945657669 984380963 842731375
476466384 532538538 -83049298
127790786 517858451 972682598
-656778662 -35033094 -535895885
628814493 758844674 -88001280
-368944023 25204089 31515218
-330184801 -238634946 -260770498
-658280064 90686899 -115949278
493460870 525357983 -648328754
379279891 391975852 -258574792
-555468265 438227791 -645800246
-444621359 -418098720 37057800
379364027 393610941 -302845886
480096846 523625249 430279705
-970768607 -896626115 -228005047
-329726442 178502826 -94797921
-887148006 -852768536 47043793
537849748 745032928 -259871884
868270838 986735994 825660096
-659347952 -508025668 -99084410
478548186 480843984 -107583487
735305753 766835222 635541364
795120876 997217207 959079854
-492045044 -263595202 -64732640
-876675562 -406472948 44489549
-513602370 -498445567 24656403
534611029 663709982 -120437570
-343092813 -72856769 -609848521
344558986 410191703 -374645567
533737864 617496728 -735732886
-627047933 -478461777 -273018595
-470490357 261753426 29929704
-408231749 -369837748 -644615393
-996035242 -926904663 493206804
-515764583 -502241161 42672855
296248504 470746450 30216646
-663280927 -548084024 -155786529
608126751 754081092 232140975
-682979938 -670443167 -227483456
-528728195 -460359146 -141971315
-178954883 201528141 -131098340
302507294 456709213 24064631
-133876510 -107610804 -110013232
-886509684 -758351813 44529143
-844516477 -812929858 42548038
-982022035 -886984824 126998850
-495355561 -67004381 32998188
789054215 931289649 832692977
-507688217 -412408338 275901775
530642563 792096115 -943220443
-843040319 -701891500 42212746
288977167 372058006 30935299
365997476 30930717 30987479
-417213224 -626982748 -594233865
533370930 -996090347 -733316892
-60616750 -635084875 -394865005
-291290187 -94774529 -94580930
-757242387 -73673615 35532382
-878326268 44436414 44528026
191967641 -137087463 -94609035
874359220 538207646 824261199
-533613294 -646353601 -588981047
379220964 -645690199 -411217113
-846821458 30249494 39499741
-518120600 -148845371 -130322154
-508729672 -112192353 -58913951
-657849280 -153691668 -109167339
-371368989 -608485750 -569618482
-827274354 41408189 42584344
-974780863 37424103 495058879
-443546377 36181541 43382761
-271483843 -269751780 -264966936
-679599937 -241217255 -210242327
788027958 -951912479 289467312
-264249520 -79112258 29787178
472498139 -513420666 901855339
-664960061 -178042971 43649022
-502631620 8065756 44279425
408850718 -506724287 -154172440
-757133725 39200674 39889101
868409950 824468704 827400476
354895538 -477062566 -295596800
158936110 30471595 30713855
-78119025 -639358630 -604979345
-108315281 -114584954 -96366306
-492044161 -104977137 -29247519
762712299 299526277 666224724
462326859 30457564 30930204
-507391390 195493392 963599742
52515446 30286479 30540323
-797898991 -374655848 -158473353
-970146673 -813251444 11331034
-917700239 -168360110 117299592
708315633 262980514 307398769
818480137 467043741 798235569
-866121464 43092954 44450703
619169669 174852562 350364009
-369995826 -645059819 -588924372
720593517 -326198533 -137104328
143736774 40322053 974850950
415888221 -676157080 -103692519
248023510 -94579738 30154284
464452425 -354350068 30687147
-17906176 31209960 763888078
-812122352 -650792897 -17503959
390947013 -306440811 -246029289
524951596 -664528441 -8243036
-494596165 -719904 38427828
-894860967 36096817 45269238
-761348518 44490585 225161269
571143865 415563225 974549043
234911245 30565449 30905558
-803376425 38771410 39352881
-18158416 31737020 784201330
-456005414 29816593 31579577
-422589977 35153087 43064431
-239937360 -267247845 -191533349
-899869326 -326056697 -56862569
867736927 534681974 747691967
341065332 -94593807 -32053248
455852701 -578056948 30214996
796219766 828796422 959645062
-332345621 -644306274 -601073286
-943232264 355225216 803591512
174488915 -99244599 -94617686
-714526359 39644393 42710695
86387300 -116993272 -104106870
-800523520 -333568066 12143218
-329358547 -108561138 -94669373
-102363510 30086241 30634103
277658379 -464105953 -210417620
798009607 822573699 830199721
-887437753 55991606 987580338
-673902708 -705969579 -226928374
534433790 -736220853 -733431851
-864159108 46900615 75232970
-473150452 -194571670 -119647234
968968205 839188384 910450164
-214571032 -817782834 -671907351
750470713 565139082 738771148
909717932 829617025 852796316
514535085 256206158 983451612
481153121 77745755 907581014
-318353322 30876687 31495374
620144199 -223934512 227957695
-145305668 -172981799 -119974607
-412836143 37733130 353709894
-133286345 -115810780 -107859784
513392380 -881916105 -502716254
296268948 30216422 30462212
342327077 -168371064 -99160070
-492074399 -578958711 -553149063
296238663 30926444 30996071
479973806 -767240866 -95217298
-924685871 -111024596 84779398
-67663508 32258575 117220283
-886488534 44475538 48030213
