821 12
-724038474 247672713 -858476739
-256053129 797124074 369967410
-733660568 -401958773 581037790
524958580 896676982 807013680
483468182 886041580 -990101930
-797618828 511696551 100647356
-402220940 -390066309 -254181975
-289904080 752932859 -615006326
-990356090 -286737788 297441763
-897956886 412429011 -585086201
-934316844 439185128 -841870731
17330450 54222147 782075863
-973489351 888341899 36334037
-770533262 -443114192 -182116104
40148876 650087223 -901440767
-229260381 211829579 471585705
-6017176 448933355 -162598677
-506035996 869651690 -975290797
-609438531 337168120 -265097905
-126643446 399229042 -558228373
19531631 812150287 -486762080
-658004453 22010075 914173418
-517901000 -283381257 251750311
-558051002 -358461142 255576625
-200977139 796241843 -224975758
-295671950 349698014 422118212
447256743 547450738 -631519873
-99005995 496272122 -120589465
-634511654 -197095699 996820410
-421402327 382522833 693959313
499093429 836475149 -650779161
-826483185 -5738716 -247854381
-559197587 -399500047 -953663408
269763022 594284194 -928575758
-583171731 -346327466 648586594
419128855 869600060 275591767
66251112 430238896 -517572132
95233415 417967227 -118216899
361063376 702538069 -928722936
-531770420 282520436 627612079
-101695250 378120667 -394803536
78596620 812093046 -388459653
-723930503 960315207 602408839
-394869108 884919347 -798282497
501915486 584241108 -628607851
249793724 250913166 890380525
357390547 933719738 699537795
186569377 698454067 188650008
-503602453 70609741 392899461
-115616934 883758480 880580445
-808283962 431170855 619349298
-361919856 639203151 -769203358
-974114886 -724932478 407174625
41940320 184902542 744634526
-643894704 519107035 78542030
-738035935 770981900 631897915
-389570624 543950648 680898573
341675507 623489825 700924212
-131529620 68041948 -397727229
-569892511 -49214646 564708140
-883122936 -267158991 613750268
-239800700 -140860960 -184658512
-308737345 148010943 761949427
339828525 796697936 -77961849
41086331 472123731 112257466
-767476748 87923958 -433720611
-415290706 522436910 513340986
-442870731 708426080 -398071073
-792850462 -332662148 596785831
-392178048 -375939984 965417621
17493259 252127526 -558624422
327556554 540084956 -377981503
-366386489 -146247168 269788051
-643510266 -12634830 -912980833
-772783059 -409056878 161540817
-380168816 794503413 384544886
-151082427 571418525 -763065984
-961673416 741561244 -147663038
-937332977 325550671 117278869
-924159441 -463271011 338525799
-416679438 684063641 295187238
-115073324 750602447 -7287279
-720454935 81790174 -792597022
-990101812 -655761040 715207230
-375792832 772134063 -410557729
-723474575 -367365877 36209333
-170256691 -164547786 215728231
492607408 930967192 -44158292
-339111957 -234555352 601405115
-551038314 -363141830 -814398487
-890225614 -548196136 696647686
-482344032 234668507 -223974269
-658325938 718502833 -963004746
470190130 556140398 746521285
-740245379 535277906 -731245555
-809485767 -285723636 784713072
-518725247 152150134 -159557008
-369874516 949850156 -64321969
209838924 571908422 -310697117
-428074367 -90412140 -952200840
105231616 429914199 402972929
741176636 836186798 887275718
-870966022 -581490920 586095168
-175130278 305665712 -520948943
-617260809 226472895 876251858
-409955757 481260994 -639575108
-94957957 934997744 68235468
-25889737 489578414 -963668886
-332285482 611003028 527224268
-729340377 -666238580 239705048
-895663349 601423634 658172445
-240805309 -70877882 580839313
-207115109 998767382 -464490956
-499685416 -100958612 27583239
-815930481 30802159 -814165074
-980716791 -445873952 -129457864
-33880496 511385905 811297130
-748079674 10025130 -35694348
-396714674 -261390399 -609304134
497360887 653637872 244852902
-898321412 -246515332 -312316056
278352440 579098256 -565191199
-989900277 -337319484 604598483
-553091566 940515918 519869099
-717144142 -527732146 940399516
-653748242 428166433 500035016
-853140704 31233003 519087609
-731508779 -248402963 864906157
-988103443 -580167668 -115236951
-471759428 664156024 604117570
-274205027 281568355 -596861890
169588161 297721270 -870010716
-291296315 691248301 398029206
-892332778 420221213 -785718128
-715456576 681336989 992416528
-77781191 200733812 -918092684
-646713345 161947073 -821602177
630390360 748152012 804258203
319923933 915536083 -935544656
101134186 387665744 467933000
-428900977 991653376 946916110
-54479143 778492023 63632495
50682549 674054919 -731626295
-303156369 -74127103 -246541803
-850883229 728783396 557480870
592532309 641639098 822889997
-739198585 -45242749 996531748
-935994629 -377604405 56047677
-379186501 695533496 311496755
-440776659 692309201 -787554482
-122240708 344781487 -773695462
-22295654 960500508 -442832741
-430730233 316369587 -28086716
-803158351 928081533 483899748
153184289 562589438 -620638273
-803504991 -754880860 102828540
-554050413 -377747076 107951095
509467684 619169796 846567838
-771627324 643645035 -530552874
747839651 971609547 -100674304
278596211 932842819 319854319
619183625 639478373 315731130
486606422 907392711 764849181
-39656373 384081876 456302654
486947420 900361876 214075906
-547650843 -63301585 953122729
-429528385 159161112 -241812008
-535641755 -419772191 294749833
259237946 480264322 287692352
-44960943 855559124 -682926310
-953705571 -650451378 -526335417
182151178 711129745 -586898106
650826742 787923250 232674346
-993455266 -838456069 -485679673
370625190 773886030 34166009
-925224285 452508321 -72709329
241184254 307335679 711012041
-564256548 128281271 486847706
-648613485 -534549659 677674848
-468139927 120013485 -205602570
-215710474 196557252 -896614306
127469222 505012334 -943673246
-870778634 707609779 130550260
-903045401 963842568 432723982
-202473973 741281723 85530792
-214893391 916518607 -347524109
-578691196 722085030 504455785
-977734623 -21290936 -428160094
104732454 828888278 -168521982
494419709 861369230 -696134973
-805978461 12067580 -868781081
-789508755 -626093201 -153012735
-938035865 -917654666 -735723777
-942368489 -742062994 -658880492
