200 200
307324708 530949634 -996102757
-584649466 -554330814 160363034
-64240202 2938769 277002379
-526038401 -417983771 991840705
-549772991 -441887253 955104554
-890188095 -811457784 898293398
-950818086 -891152433 -563816497
-404682583 -360735484 999826851
261774131 356265828 -994215358
-711818090 -683750188 985029147
-276648762 -250008250 -193764922
-935257758 -878946501 -321836380
-769717044 -670140152 963815689
-667855742 -636089753 762962421
-769621503 -735845389 883988374
567876131 606321203 -998298148
-991431643 -826077889 -965046938
645496981 682837459 408401303
-714937579 -583398267 993447297
-619057823 -439962714 991713382
-873699044 -778249704 246860794
379181842 518376936 -889380105
429445330 865506231 -999882002
-114754111 -76397320 266919728
-795631117 -770476117 -918791332
-733704338 -622963859 -374436962
-326636585 -204731051 80150303
-953178425 -806651120 -898438777
897654444 962862673 999996278
912430786 949136443 999997663
-506312228 -388229565 844940890
-552297677 -428603773 992015906
-478950620 -430243658 998287916
726703511 870233815 993851713
318209581 456742535 281301341
-248742983 -121013166 -775631647
-650497279 -634230638 808878252
-498617904 -404365974 998662320
-824672296 -815025617 8434206
-990585678 -978577286 -924964552
-977878212 -959487758 -313628432
73255714 93788218 948852432
142004240 307886219 -994484703
108365327 518712570 -759997700
28886620 88277309 948192764
-545159415 -505328620 406059423
533974927 548603560 -999377555
-662896588 -389859360 832097120
-236046778 -222130924 464887446
-349317213 -334461741 -790523196
912003810 975007474 999999313
281451121 604801081 -998394331
-878842057 -819460885 79473258
-273453228 -241167798 852542
235584290 537724130 -996025000
-670122615 -624120197 -24153465
690060428 754872254 993931885
-935449870 -811289454 362282230
-43364523 59309974 789306829
-388843522 -351470780 999879481
-871781361 -819142624 124183104
-497221304 -413415830 998240569
-608759059 -600863130 911007407
457673934 525021492 -998020081
518478035 649561305 -998019874
-996156463 -934883364 484870387
579667775 616241272 -998284852
569987015 606160829 -998296214
-236539544 -169162423 861255738
-9697268 235285028 312249921
-669834030 -473466898 87082863
-993788859 -978130205 -923514613
-381912903 -354307500 762997858
-802968135 -783521668 366261834
-502561697 -394535456 999004474
813784370 865526006 -999907613
362308903 559403475 -997968079
-517723064 -423058138 991925543
815897020 885695645 994056806
364750482 525331208 -998099625
680630762 717676500 995277359
-803505214 -777455492 317159476
-52062244 31564138 307079244
-927192807 -878358635 -881926306
567205125 600227952 -998322431
168365656 561589077 -997898865
-552165980 -433249774 837147168
778190634 945374375 999937796
153033105 366399796 -992906930
-73730450 -46611577 304226368
-102803245 -73980563 268031670
-512182768 -450130905 344970439
518673052 639258168 -997984109
374602301 429583534 -869922527
-573746653 -552289905 540987924
-496416193 -430254282 998286135
-74001931 -54701381 278781613
-326404578 -315596884 -128603835
-351537943 -272460126 -802239975
691775294 777002189 994856647
691459461 753303528 994311648
-171047140 -74024680 132770503
-978079542 -953331743 -513384072
294093295 438487080 -839305649
606607057 651655555 -998055646
801337975 863357724 994076821
126213387 419318983 -916649089
710350997 786327723 993642783
-103539727 -76207741 267929908
44262365 98575950 953217770
292795840 404375812 -910477998
-590817234 -566545648 492607398
561062354 632145637 -998191576
-796986975 -716825690 -942378652
-211144593 59380709 313960544
-581140072 -506158070 647777119
682914429 699902060 994151589
644925227 670491467 478060904
317387676 456849737 -622925940
-404440828 -395915433 999156747
-619108686 -587269100 992226998
-991914787 -983923336 -843404475
-739124699 -718064537 -432157143
456393836 639665195 -997972425
-854736104 -770891362 -907876686
59738977 88783617 971252723
-808685410 -784618652 475242109
-677918216 -669892129 969452542
529294790 558049918 -998981045
639176973 687228049 173405576
897031761 928054160 999992860
-845814820 -826014338 -941018505
-887467721 -885656866 904157498
-955706262 -935279797 553239292
-512829562 -481968828 207329344
271874775 359974366 -993335941
-710722799 -608887407 991656024
726233986 776715252 993925319
-878569139 -805189692 -783061426
123445591 762484036 993537804
606908059 634271824 -998125944
-550977740 -418161741 845759303
-720458390 -673931356 982222191
672622406 720787631 996868636
674184574 808412609 993770624
166327676 323858285 -996185511
95967675 234843913 -210954908
-957757358 -881752926 976814793
235456801 305818575 -994635841
-580568577 -567863373 494535020
-294033629 -251102011 -199805890
-116033465 3190898 275015769
44503303 93623776 949225422
-552522111 -415398974 998220824
-512837814 -445401134 314945090
127964060 363892623 -971188066
-481378549 -404546150 998349767
-608894758 -599703975 896989161
-576994701 -506929471 549979386
-388275297 -285442302 999885390
276659174 484583886 -998902438
-330430158 -309893246 -256831186
-694950205 -608770666 989313513
-505485044 -438012483 841250056
17069586 89921158 965159913
429778248 496569941 -999875822
812964478 972977299 -999988607
-550100006 -438856530 920995491
-13271626 27337989 310866788
-328299532 -296321251 907454618
-248997558 -244748286 -188306764
-998601974 -985620855 -797631974
-678297956 -619046490 974028850
638290745 673855925 668087983
-930487173 -893538985 -867278666
117042393 150250417 982210636
-923530665 -900432536 -878013736
562877149 619344248 -998277879
-380148489 -350033565 587746547
706268725 771744759 993594202
