hilbert,,100000,10000,0.0253458,8766556
mo,0.5,100000,10000,0.0226105,11574390
mo,1.0,100000,10000,0.0183386,8428308
mo,1.1,100000,10000,0.0188888,8319977
mo,1.2,100000,10000,0.0194423,8235074
mo,1.3,100000,10000,0.0187401,8304618
mo,1.4,100000,10000,0.0329916,8312768
mo,1.5,100000,10000,0.0195438,8448673
mo,2,100000,10000,0.019017,9275579
hilbert,,100000,10000,0.0265452,8731134
mo,0.5,100000,10000,0.024134,11564340
mo,1.0,100000,10000,0.0194359,8416476
mo,1.1,100000,10000,0.0178412,8301344
mo,1.2,100000,10000,0.0180086,8229678
mo,1.3,100000,10000,0.0182141,8282328
mo,1.4,100000,10000,0.0184475,8364574
mo,1.5,100000,10000,0.0183984,8427598
mo,2,100000,10000,0.0186266,9162037
hilbert,,100000,10000,0.0267714,8792194
mo,0.5,100000,10000,0.0228321,11543662
mo,1.0,100000,10000,0.0189088,8372338
mo,1.1,100000,10000,0.018619,8257766
mo,1.2,100000,10000,0.0182666,8264274
mo,1.3,100000,10000,0.0181622,8268764
mo,1.4,100000,10000,0.024282,8315550
mo,1.5,100000,10000,0.018943,8410054
mo,2,100000,10000,0.0191688,9292152
hilbert,,100000,10000,0.025478,8778404
mo,0.5,100000,10000,0.0257783,11524362
mo,1.0,100000,10000,0.0192883,8384414
mo,1.1,100000,10000,0.0187475,8280548
mo,1.2,100000,10000,0.0190014,8262724
mo,1.3,100000,10000,0.0206229,8287626
mo,1.4,100000,10000,0.0193545,8327844
mo,1.5,100000,10000,0.0182195,8463492
mo,2,100000,10000,0.019055,9255330
hilbert,,100000,10000,0.0283433,8753745
mo,0.5,100000,10000,0.022607,11547781
mo,1.0,100000,10000,0.0192245,8440763
mo,1.1,100000,10000,0.0189529,8290723
mo,1.2,100000,10000,0.0184719,8288276
mo,1.3,100000,10000,0.0185771,8310437
mo,1.4,100000,10000,0.0191284,8296036
mo,1.5,100000,10000,0.017933,8428521
mo,2,100000,10000,0.0196104,9244925
