1000 1000
-553541392 501310544 576075523
-470786380 412503463 -478015100
-884117430 877523141 -898546201
-148549492 118762340 -155384215
-196430181 171252456 215764785
-470529446 412281325 -470412445
-205661748 174656888 -205578570
-320727968 278288644 321837829
-910534874 909369988 929386118
-99141476 73160758 117831184
-14515187 5683246 4092683
-522202576 451126044 538700133
-826801126 802420809 -845453785
-50385278 30253651 39373366
-605709141 549266334 624162043
-683810594 643755247 -694235539
-611105969 554971172 628162955
-863896993 856446411 889212615
-535816473 474778769 542508579
-641943951 599641680 651446267
-66724187 57348431 -71479466
-939442623 931716809 944879835
-82301571 65264171 -84078299
-853116975 830830114 -867581704
-500140078 441000259 517628156
-523391710 455713727 540359732
-488241139 433513973 -490149778
-655811352 610483371 -662893935
-704973116 662281045 702219674
-274911256 246107808 288232016
-578118010 528390416 -572903256
-186014572 153952325 194553269
-787818254 747626347 -800241855
-958684836 956070528 962434350
-569521709 526856282 -567320282
-277547334 247995512 -291998053
-930313348 928015182 -934482276
-658260171 613709600 -667865423
-387861917 341092837 -390234998
-84435379 67376003 98549241
-645829385 600873536 -649740307
-194316092 171111983 -202223983
-169678906 135103272 -175095832
-845765407 823061752 -852560219
-654183234 606662888 -659774503
-443518173 396567909 -448166029
-29948550 15414868 19186175
-26683626 13467570 -18351440
-228101613 194080306 -228727856
-288035499 252415577 -305892699
-355256320 301095571 355399614
-482944478 415435290 499591798
-968343141 963527416 964162219
-456445026 401445844 476963377
-847247418 828098021 -860416734
-828438890 803803812 -846070529
-776181757 740552686 -786970471
-934062775 928197502 -934496199
-170543178 138890548 -177672099
-628903954 578063413 -626913760
-467102374 408615479 -469823551
-57779392 44219804 60775091
-356315605 302575877 -367864781
-171587341 138691105 188911137
-740275879 705899171 745928705
-553197936 502323316 -534835865
-747805133 716059859 751620527
-769315959 736380401 -782604598
-705048541 665685884 -713519175
-352098116 294280252 339272855
-967580807 963989337 -968559190
-819639818 785509042 822795377
-870597418 870578293 896226473
-152456113 120001304 -155567273
-489086469 433819510 505918333
-971944380 971503680 -976758840
-246289650 203409730 254443184
-776033918 740192904 -784878786
-694925552 657306255 -704619432
-142141010 110954611 -149045979
-959846484 958147402 962492188
-808187528 773727141 815399501
-540962616 487518835 -520445061
-783906497 743386169 -790934555
-557444963 507761702 578269629
-887152345 880746863 -901645027
-560233281 512376532 -556178065
-96984510 71742662 114095001
-763550168 728173330 764908933
-462915297 405863699 -461518455
-499099994 440751292 515390671
-384047199 324055574 379879486
-391779409 346094778 410602059
-778411381 740814369 783072880
-827347204 803171013 845413302
-107114439 77113196 121798678
-747201300 715226841 -755742596
-945614937 939393257 953380369
-673257542 624034999 -682266947
-44603880 24312457 -32041071
-369838954 307804315 357129405
-529415087 475247470 -513944072
-339363301 289676302 -351074625
-32154900 16495741 20277868
-767228020 733299781 -779451214
-808657938 778068624 815562482
-19778090 10087980 -9532767
-488319083 431094998 502915265
-559417206 511662223 -552777190
-951798661 955403156 -963038729
-139983781 108730614 -146228581
-383077341 323564946 376926189
-89434932 69643368 114066229
-112409992 78726033 125017279
-826758040 801079857 -837573325
-552485226 500976770 -530510238
-919815966 910097058 930240427
-386650411 335468027 391780524
-558728586 510737424 582204804
-225601552 192936683 -227025545
-197111882 171702698 -203957954
-61555673 50793408 -56056563
-54158300 38941147 -43757411
-401757723 363287172 421239625
-345415460 292901626 337152670
-290001681 258295614 -312957280
-894005719 887712114 917050335
-343164632 289854127 333993523
-840972349 817558898 -849091016
-737266856 703883826 -742883414
-415494365 369713727 -432629456
-395906040 358956892 -416304882
-431304666 389907215 -441958468
-472368593 412503253 489905109
-838417496 808544755 862944396
-38601666 20121330 -26851933
-710560924 670140909 -719689804
-661936577 616164574 -668935580
-63136349 51951040 -61443224
-873226383 872657526 -886915943
-211973408 175377434 217760068
-656466937 607410791 661331818
-97274265 73746543 -94146179
-897134350 893095016 919248657
-898695210 900997459 926148636
-863745432 859381953 -875764787
-65713817 55541491 -70183218
-760509689 727153533 761945072
-117664168 84074377 -119815241
-155520851 121082417 -156348592
-119903662 87371663 128500806
-865825883 861122570 -878881035
-670890065 619972584 -680554567
-27251738 13146442 18643744
-282342933 248623652 -292837618
-981845351 985045646 -987565752
-713697607 680654966 -723981574
-26698604 12866856 14819797
-243451947 199372950 252019191
-83170081 66433194 96532030
-536700467 479954852 543872991
-971647802 967335361 966944015
-866700689 860534167 890063612
-448933984 398001559 473026514
-780229974 741816222 784985082
-970001733 967655755 -969879602
-88209259 69598710 105046070
-163416652 122887754 174230839
-747281530 713762167 751112497
-399254156 361014085 417088194
-753750286 725841471 -761316648
-688012549 651164191 -699730181
-6602237 3177672 -2753488
-939276729 931701292 -940026363
-283129323 249885901 293815349
-22360919 10739104 11035461
-233477581 196839334 243232182
-148416229 116914603 167355022
-595019328 536474923 -594755091
-853090048 830620159 872369177
-166175023 127723109 178801308
-585188545 529595954 599159012
-693866975 652476734 695293657
-272809429 243948863 284154736
-595069882 534955948 613797878
-429424783 384159268 -438131894
-508027581 449190855 -504907222
-615930115 556935309 631756050
-694242416 653080639 699372992
-911120972 910171462 -915527096
-594978021 535819932 -594326109
-53485260 30904350 40142727
-629015852 579431039 -627295566
-213589842 179056423 226267267
-711570101 673015278 -720515688
-920056873 914880129 -926188707
-731406814 698152692 742519126
-974959854 974922430 -983051966
-501227918 441681284 519812716
-256761313 212554209 -250527241
-229236614 194759714 -231102326
-611743176 556165897 -615310505
-498279179 439792624 514118982
-181873731 150852480 189541984
-379401891 321240199 371500573
-740853091 708516958 746743589
-869591811 870526662 -886097349
-59863690 44605460 63163601
-790155485 747809429 795013598
-307525098 270114314 -318891085
-503931896 447314183 -502026065
-226212813 193287295 237662478
-386650751 339391785 -390202189
-79020807 63174513 94539070
-428124110 375946525 -437944178
-287989537 251668121 293831649
-288552899 252466013 302293905
-675759808 632574126 678912760
-486784480 422441964 501709826
-207890932 175085373 217306863
-45481732 21718772 32647407
-648837830 604823021 -655491551
-419718928 369920384 -432979474
-928489070 918825197 932352406
-351036028 294294373 -360358646
-713257277 673853759 711966927
-654160617 602501941 658953594
-949124287 953634327 959598145
-645815381 600597785 -649033239
-141689077 107430429 148055434
-633651099 586829335 641898113
-666130151 617712747 -675901899
-867578490 864976504 -884245311
-178397158 151163693 -183151056
-270607694 243723004 -273278296
-510306284 449563694 532422684
-227445151 193531067 238161650
-396169834 360936181 -418503800
-675398255 626102096 677056980
-514929057 450628119 -506113267
-825420805 797435912 -831952756
-294582123 258707367 303914399
-60946573 45202968 65675925
-539843028 484976646 550037802
-264270380 235608864 275349868
-802038639 764237721 -811126278
-344061338 291933461 334026856
-102818895 76661503 -101050359
-777444176 740552643 779114805
-693620111 652886627 -702430703
-555325531 502405876 576735779
-358599930 305920535 -368735204
-928637592 927613177 -931483311
-194394998 169251317 214467993
-801073761 763133941 807810094
-22240442 11140159 -12124980
-894373243 892324492 918105605
-310205300 270302455 308970680
-336859533 288193223 -348560545
-735676600 702342379 -741797309
-717637954 685556055 721632811
-823281762 788902949 825372147
-721022044 687937636 -730596782
-858485050 834889443 877718217
-85799610 69181952 99474221
-355085677 301416175 -366977121
-829614223 805032326 -847664800
-959033810 957144255 -965597926
-130106862 101335570 -131562729
-854055321 834769610 -870540564
-784524738 743422259 787923177
-777571939 740799198 -787210188
-395759347 356429633 -415352887
-606470997 554610489 -612852478
-402543621 368045866 -426012858
-934553894 929854972 -936936368
-743323217 709542033 748846899
-248038909 207214812 255750268
-26880566 14056267 -20596002
-171630438 148998798 -178227156
-232258588 196500310 -241390147
-393153860 348170045 411137397
-264885051 236868915 279688190
-558817697 510932224 -552228908
