1000 1000
636400458 667630944 -896294340
61243789 74441595 -758330627
48150701 59999531 981108870
352107403 356481910 -998480363
-868801074 -865168480 -971959301
965353587 974666980 392438369
675292537 687110710 -108179880
-205509676 -198076820 -969072893
432977054 445149915 999999073
-935829244 -909740963 -826711682
-205250435 -203819217 -335432166
-205295717 -194798100 -710158303
826693573 845301793 -548058077
513499046 623404337 -422064622
821864556 826513800 -568716354
-677908849 -674187673 115333953
-424944787 -416577444 999999924
-397543128 -381081631 -177434373
195740658 197575551 253640138
-908683915 -866770421 -970126922
781728914 815290541 -560735651
-720150921 -710974365 -997077840
912185270 950540520 -407350467
950869238 967185689 485871022
-146926290 -139297993 -864040709
-903125125 -893555090 -985996827
163769544 186236409 229116909
-77648635 -17744657 -998900692
130874540 158492261 803159123
-212893666 -208548885 -926004207
-834078003 -833377508 -995130923
117252053 123180151 999999094
-596283862 -589023066 632242478
-581891460 -579589593 169882723
-439598292 -396763530 140509679
650162362 660241350 -896298702
-19558351 -10732096 -999059579
753005994 860073806 -569336428
123168102 127213769 999999911
433097033 444207358 999999194
-994185678 -981603348 -860211738
-775078398 -755151797 -995324937
-166794106 -145831410 -874565838
-127015007 -124226155 -428649105
-370906954 -344804809 999999844
142699163 163743685 264304560
-531947706 -454854360 999999811
-75583853 50118791 825964894
-807295856 -791517898 -926525123
-324844848 -318297422 -224355725
717708887 805197318 745778061
-692835540 -683052695 145834817
631388701 655794304 -993657829
-484076436 -460929471 999999988
892127404 907388387 -881225216
46034194 65240694 -656832599
920792948 924267636 -409092211
90471573 109464297 999987390
395089019 412944958 -999978654
94427596 106629758 999994231
-532308929 -523451726 999999995
645747805 663427327 575979846
-536999141 -516681429 -548943015
118354791 145135050 -974917134
952644843 985607506 758509393
479777126 507754050 925426234
-715271221 -671757411 -578479131
-686573950 -674008022 155344494
-379040202 -341081109 -181042155
-525324098 -497475834 -550607684
-155698544 -144784442 -874497020
-123836092 -118994041 -998459993
169694794 172472266 890773339
-940255679 -927014634 -407324500
873989645 881497079 979898398
65803484 80520342 -732124104
870702241 872039383 783607090
-440106869 -428456558 106241886
216805937 232442837 -954013593
933950425 940050628 -407363291
-661922554 -655383837 890654375
-928617186 -926534579 -956172893
257441696 271434335 860409000
-959494135 -956710650 -462785419
381285321 392304203 -999840723
-598281454 -493477248 999999851
430624197 444388453 999999360
974386728 994357749 466398439
-147864494 -124265885 -869602087
881495220 888291058 998020989
512366851 520017494 999073202
215946214 225999406 -815669695
-566182323 -553078680 999999677
736937183 756106327 -562843270
912106707 962936307 -288459582
-862113836 -847291296 -542752868
-821502388 -774949546 998511361
-356585949 -319284681 -224325738
-396780135 -341231987 -178776290
35969639 39931507 801121971
363313826 428830373 999998403
-212757314 -206745225 -932314716
868939223 873802527 307600475
-716417560 -713342602 288915182
620026149 663086116 673517952
-566366655 -522753490 999999685
-739810285 -719661013 -995114909
-488755158 -467020780 999999994
-438907109 -373242401 -318162432
220286345 254813905 -371893073
-57065763 -33168433 -999121560
753387086 820988612 769171582
682615828 698981693 810343563
-306685977 -301806408 702120799
-77802138 11987763 -998632220
993596162 994000692 -139687158
329128337 360883890 668402411
473619398 509410948 696098476
218570653 224709792 -347854987
520469354 532213150 999795382
-956710788 -879042356 -977679721
54582419 74423202 -913674109
-932152449 -916925754 -988421496
