200 200
488674294 591107061 349579366
-527043017 -445230926 999988925
111470745 157027258 -976029618
-351418834 -219334833 999992110
-372450896 -266832463 643113057
-810230746 -795787848 790679578
-925911198 -893411445 -998169445
-186775008 -149328674 659364329
359673879 450158927 463260955
-652439775 -639857985 998631464
-101151145 -87601358 994135668
-894227458 -836438410 -997839732
-727614284 -613846456 979037150
-609331420 -565386736 999702787
-747440466 -730874298 355704575
637481363 691647481 -948347364
-909342550 -820974947 -997890836
595930683 772303740 -919062098
-694895522 -482562756 980414749
-330936404 -275658491 645889698
-829292782 -756605243 -997878802
502789239 558081648 -996547456
907352689 925889007 838163003
-54716874 77448898 -965091519
-809615615 -747867168 841230941
-658157473 -561264756 999383445
-54925387 -44742779 -943878311
-832866589 -788510616 -997827023
940567528 986507368 189909298
933551274 986262352 997366887
-349199000 -193325196 999997165
-439690974 -222016361 712819125
-460351615 -233697619 999988929
640609638 932978838 831870761
398342135 527363113 -887443571
-99054562 14780103 999280076
-601213591 -567567882 999810680
-398660353 -209105716 426201589
-830811877 -800142718 -997834748
-992296841 -965878229 69543492
-996585982 -941209758 -996968684
217868233 266479207 -993578936
401408225 419962936 -411990231
160081155 555166933 -996274647
142099553 248936574 -763605036
-434941895 -372408099 235327685
554176155 624786641 695312301
-208859679 -195380433 999464984
-93453237 -36976013 -877030947
-158673307 -125599949 643760428
935443343 990056385 999469880
527959110 675324876 14506974
-837478582 -805498871 -997841555
-126228101 -54226962 -764304537
481972329 596909101 668832296
-614032120 -556229282 999421007
784512969 852731202 -989270564
-922868123 -799188754 444325770
139098766 216644682 -768405844
-550058333 -147603054 999998095
-893490475 -808363792 -997838725
-744768280 -209900956 377868778
-523900293 -508104460 999987916
401110459 570924502 -20930506
503887213 744513694 -998971050
-941055873 -929343076 -998053969
691191066 719944240 -992620067
333913923 688751371 -947616523
-45545872 -7168585 847678325
369635956 383604518 -537226873
-484570198 -320551610 999989743
-983033464 -962578858 774086267
-181339705 -150278862 648588718
-773493102 -757707214 851480437
-320915786 -202242473 672708131
906606578 928727143 837638867
595344260 627032322 -914871826
-403135090 -221733261 681499095
899451481 933885458 941427927
520282046 583031541 -354442799
825877616 836625617 -999975365
-767634606 -756619313 8477546
110644585 161575921 -947933028
-940245006 -838210113 -997854226
527935537 680320353 142039964
443649261 632704597 -911746255
-445123381 -237536089 231456404
941798611 981064108 336657342
384637190 463599746 -879824424
44010143 119518791 -715876568
-11875753 80779315 999703636
-372279614 -309867170 649820676
558551321 725674226 672485175
312619879 519809479 -797749589
-461259018 -444517919 999988926
-442058665 -235658695 751790697
80891912 122201633 -735861137
-115466549 -109490386 702211002
-144031781 -99496897 720810200
840135233 890592692 -947325920
763205634 853306523 -960582727
40282909 80041345 342106178
-953996777 -941805150 -997063214
80010458 522004631 -742279992
