822 822
-288626103 -230286887 739063011
289452298 304188171 -368732333
242259996 270465988 -999984080
594918197 714335963 -999913372
-871939154 -822181658 -995453639
46747457 66987077 -870184612
442182514 526608743 -999913341
-39942749 -15714591 673158378
679825065 848154018 -999913437
-934294754 -889737771 -205549523
-184351113 -26082478 664240664
-38421412 -15255265 674444691
-888683052 -884823972 -995356326
-487789928 -416635138 -997469186
-523811473 -505003847 999999961
-617020956 -605514086 -997378197
-394513560 -287736380 -996682627
-289172819 -230636835 738955140
514097202 530608538 722062673
-890002320 -819262433 -995410254
-513457230 -501577106 -998534122
-662215405 -654175192 -995581425
828877143 842737803 -775470004
555989127 630065860 -999913425
33987963 53389616 -987743729
-880404469 -875278255 -995403458
464744918 524367037 -999913338
157555683 172000079 -999644311
438080788 461900835 -998502286
-40665359 -34375086 674821810
-811074817 -778214858 -998828762
401125724 427954101 -997951801
-681231856 -508690055 -995579733
-496769786 -485551700 -996714530
-427466530 -260127288 435441500
-732016609 -724556219 -997308339
166598644 186340618 -999644018
-380158025 -363308327 -997689286
427416848 436391036 -999913381
835354526 845697148 -999970772
-999766950 -987806063 -383650323
-700732266 -691425072 -995553817
23352683 29951561 -293161407
68663637 70645484 -998930411
-214107352 -193914090 662141632
390509717 465008575 -989159854
-482795888 -362296064 -842149607
258800074 267995751 515372570
-778153257 -729183743 -123816565
-297914551 -166673160 665286142
-242342689 -148463972 942930677
-620958147 -606447445 999998111
-425496257 -409349432 -995582878
-409329955 -363984909 -996584138
-717660844 -628494015 -997377719
275294730 294494140 -558527589
968207890 984366819 -999998353
392337462 404368317 -999531932
735004439 785771485 -999913376
384908227 389705651 -999902383
-487348998 -425496489 -997479763
-588351971 -525810911 -995583146
-431512609 -417298399 -997490073
409474442 454795944 -999913400
-719564201 -598501465 999998083
872485338 903861465 -552851006
-642842452 -603992020 -997774912
-667506581 -606017894 -997377861
-257480216 -190310352 -471581685
-496147439 -402547536 -997265407
26164994 30343882 512906107
59485872 71157487 -996005080
436326178 505102804 -999913505
-947198672 -938775340 -996154454
-424123828 -371152977 999999969
301040620 332640065 -371381085
-660970975 -607718035 -998474093
-327439436 -305911757 999999989
514330837 584496013 -999913385
930458437 941152401 -774922471
-648644947 -588681753 -997539254
-947111065 -928156941 -996159491
625285369 633243692 -999917720
-975012681 -961097198 -994999242
706742114 768637035 -999913319
-498974884 -392243532 -997525452
673905486 845718609 -999913438
-723760229 -539402438 999999180
68389109 69998991 -999183512
-747160560 -711626797 -997382112
803145894 930664961 -553883516
567726916 583301440 -999913390
-453143696 -446094459 -997276462
-661077254 -656689398 -997406336
561582876 564721747 -999913439
-835025588 -802259369 -995559712
-761494091 -711751809 -997688337
-247863783 -166271719 730310882
-235502882 -190091582 -461801553
242042863 246263894 -999975128
794107109 835581454 -774309948
-39656095 -27950150 674408815
109149503 129625860 -999980228
-693544667 -656960969 -997377862
-644703438 -598552095 520364473
-445110213 -424186796 999999992
-690578381 -658202260 -996066033
-380006856 -367502798 -998316893
-315672436 -227627265 999999981
554411781 600352431 -999913367
97001232 155527648 -998873867
553199207 585024352 -999913387
730920346 764685645 -569051836
-141840264 -137213621 -999971918
191900944 203860020 -999643992
-872021830 -845591278 -995475655
684084466 724241223 -999913432
905454303 916646052 -516408575
454980710 567595344 -999913459
885073310 939598633 -515003420
-893022601 -860819747 -996173298
300183123 304343943 -370569966
-952984303 -893627457 -995291712
468431962 510356582 -999913409
-929740852 -914659835 -995439423
-614409285 -391931731 -997378262
-362294036 -354751835 -997507860
871437781 933511572 -553700053
-654283930 -612784541 -995582839
12270126 18341778 -999903100
-124284363 -8198501 999970629
-979470075 -960146500 -173533834
110434913 119238745 -999642677
731106561 756810358 -764837118
-476348259 -397124916 999999967
-463250648 -364503904 -999019779
55940879 85312944 -996302199
664692995 738784365 -999913424
-237670624 -215201459 -436017776
17730527 20911236 -186458839
-622468230 -603933615 -995581043
390025381 405268721 -999913036
934240431 956143908 -780095653
853887460 920617107 -999995441
10335901 17240331 -999799979
767284603 775284730 -999913359
-103022774 -52335431 -36859435
812745447 930749060 -774761488
922809771 939854122 -511210408
-868315312 -857690056 -682366612
337726616 364021379 985035437
332103060 340890908 983088231
-848784046 -691641328 -995553799
565138183 584401282 -999913376
-654214259 -349568165 -995582849
-188245583 -173851981 660881587
162399532 186947827 -999644012
670848778 684089348 -999913391
-259312867 -167197629 -421436707
-125481609 -101428088 845098792
108423486 113624348 -999986689
-796173213 -752925411 998493795
-943374012 -868005028 -995780401
-164002103 -131064123 -999959369
717066354 761063598 -999913417
565282932 620088697 -999913368
-637891842 -526216845 -995582847
-522593410 -505020467 999999960
121718554 170834559 -999643439
726068732 759136943 -999913427
-133217340 -67179157 -67126008
278342837 290417928 -375086273
117122481 122312153 -999848358
-247575311 -152422165 -242751905
-985302182 -979746907 -990262727
552146128 564850680 -999913438
-497922204 -424192089 999999993
-642523681 -604222634 -997584359
398357983 427521491 -997158428
179558216 190335653 -999644008
