603 604
-1 998858445 -2
-1 998858445 2
1 1000000000 0
1 824666 1
1 968387 -1
968387 1434541 -1
968387 2442188 1
2442188 2563346 1
2442188 14434133 -1
14434133 15546856 -1
14434133 17659094 1
17659094 18397398 1
17659094 18980856 -1
18980856 19686079 -1
18980856 22038553 1
22038553 25846251 -1
22038553 26455533 1
26455533 27969382 -1
26455533 28674760 1
28674760 30693711 -1
28674760 33292694 1
33292694 33806893 1
33292694 35248443 -1
35248443 35799300 -1
35248443 38460182 1
38460182 39002256 1
38460182 42694325 -1
42694325 42888808 -1
42694325 43719548 1
43719548 45987285 -1
43719548 47449655 1
47449655 48685197 1
47449655 49113530 -1
49113530 49201325 1
49113530 49374174 -1
49374174 49929597 1
49374174 50141309 -1
50141309 50314001 1
50141309 51720764 -1
51720764 53058284 1
51720764 53139805 -1
53139805 53422740 -1
53139805 55754182 1
55754182 59346855 -1
55754182 63771008 1
63771008 65130433 1
63771008 67130250 -1
67130250 73206486 -1
67130250 73446526 1
73446526 74791890 1
73446526 76443520 -1
76443520 77266074 1
76443520 77426057 -1
77426057 77988994 1
77426057 78005533 -1
78005533 81686895 -1
78005533 82861397 1
82861397 85199002 1
82861397 89320572 -1
89320572 92848237 1
89320572 94394359 -1
94394359 99221420 -1
94394359 101906763 1
101906763 103713743 -1
101906763 104816303 1
104816303 105570531 -1
104816303 107512873 1
107512873 109662290 1
107512873 114773434 -1
114773434 116196901 1
114773434 116738777 -1
116738777 117619036 1
116738777 118076645 -1
118076645 118456971 -1
118076645 119500501 1
119500501 127686637 -1
119500501 130248670 1
130248670 130376220 1
130248670 131368425 -1
131368425 132755564 -1
131368425 133097906 1
133097906 134143153 1
133097906 134400376 -1
134400376 136039325 -1
134400376 139371338 1
139371338 141768590 1
139371338 142520821 -1
142520821 143640482 -1
142520821 144248302 1
144248302 147911806 -1
144248302 147938981 1
147938981 149180885 1
147938981 150223393 -1
150223393 151044915 -1
150223393 151223852 1
151223852 153361069 -1
151223852 153751469 1
153751469 153920787 1
153751469 154361876 -1
154361876 156651728 -1
154361876 157839434 1
157839434 158170417 1
157839434 159201258 -1
159201258 162202592 -1
159201258 163702199 1
163702199 163705868 -1
163702199 166306512 1
166306512 166799709 1
166306512 168098473 -1
168098473 168291606 -1
168098473 171077668 1
171077668 174255149 -1
171077668 175744711 1
175744711 177716031 -1
175744711 179992460 1
179992460 185116145 1
179992460 185351623 -1
185351623 187050461 -1
185351623 187152343 1
187152343 189853130 -1
187152343 189854854 1
189854854 190597859 1
189854854 190675662 -1
190675662 202789100 -1
190675662 203732705 1
203732705 206827431 -1
203732705 207150506 1
207150506 207341565 -1
207150506 207586282 1
207586282 208862269 1
207586282 209075828 -1
209075828 210029396 1
209075828 210841177 -1
210841177 211982755 1
210841177 212624713 -1
212624713 212787260 -1
212624713 214537874 1
214537874 214563193 1
214537874 215059356 -1
215059356 215338929 -1
215059356 215362337 1
215362337 222288723 -1
215362337 227994502 1
227994502 228214228 -1
227994502 228968685 1
228968685 230995036 1
228968685 233558711 -1
233558711 233666156 1
233558711 234745552 -1
234745552 235053922 1
234745552 235977758 -1
235977758 236216966 1
235977758 237925913 -1
237925913 247981161 1
237925913 251704334 -1
251704334 253440131 -1
251704334 254134028 1
254134028 254839060 -1
254134028 255226247 1
255226247 256173092 1
255226247 256650717 -1
256650717 258425503 1
256650717 258821677 -1
258821677 260001803 -1
258821677 262469546 1
262469546 262471214 -1
262469546 263756575 1
263756575 265680601 1
263756575 269199140 -1
269199140 269390830 1
269199140 275283013 -1
275283013 279055333 1
275283013 279606168 -1
279606168 280052144 -1
279606168 280522005 1
280522005 287374393 1
280522005 288436537 -1
288436537 290985418 1
288436537 292146200 -1
292146200 295874733 1
292146200 296341787 -1
296341787 296672221 -1
296341787 298870090 1
298870090 302276423 1
298870090 302701834 -1
302701834 302837938 1
302701834 306133042 -1
306133042 306654222 -1
306133042 310010939 1
310010939 310796109 -1
310010939 311716862 1
311716862 314321358 -1
311716862 317899366 1
317899366 320268599 -1
317899366 321760226 1
321760226 322548004 -1
321760226 323910215 1
323910215 326523269 1
323910215 326987498 -1
326987498 327685134 1
326987498 328074149 -1
328074149 328675549 1
328074149 330066416 -1
330066416 330572758 1
330066416 330945174 -1
330945174 332075803 1
330945174 332316971 -1
332316971 333996243 1
332316971 334731711 -1
334731711 341179496 1
334731711 342052306 -1
342052306 344419916 -1
342052306 345423999 1
345423999 347221531 1
345423999 351880765 -1
351880765 353817953 1
351880765 354685631 -1
354685631 357521374 -1
354685631 360012485 1
360012485 360974611 -1
360012485 362445434 1
362445434 364493795 1
362445434 364620211 -1
364620211 365438914 1
364620211 373655249 -1
373655249 377989233 1
373655249 379565670 -1
379565670 380147634 -1
379565670 380269493 1
380269493 380533356 1
380269493 381704748 -1
381704748 382902134 -1
381704748 383133249 1
383133249 383272662 -1
383133249 388079265 1
388079265 389080240 -1
388079265 389547617 1
389547617 389751644 1
389547617 390671059 -1
390671059 392414815 1
390671059 395343691 -1
395343691 400072984 -1
395343691 405804988 1
405804988 406470153 -1
405804988 410270544 1
410270544 411579655 1
410270544 412820403 -1
412820403 413260664 1
412820403 414325672 -1
414325672 414371848 -1
414325672 416131523 1
416131523 417045892 -1
416131523 419619907 1
419619907 420234636 -1
419619907 424189278 1
424189278 424788160 1
424189278 425256630 -1
425256630 425375507 1
