gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 3) ... 720 8 6 48
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 3) ... 720 8 6 48
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 3) ... 720 8 6 48
gcnt1(2, 4) ... 40320 16 24 384
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 3) ... 720 8 6 48
gcnt1(2, 4) ... 40320 16 24 384
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 3) ... 720 8 6 48
gcnt1(2, 4) ... 40320 16 24 384
gcnt1(2, 5) ... 3628800 32 120 3840
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 3) ... 720 8 6 48
gcnt1(2, 4) ... 40320 16 24 384
gcnt1(2, 5) ... 3628800 32 120 3840
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 3) ... 720 8 6 48
gcnt1(2, 4) ... 40320 16 24 384
gcnt1(2, 5) ... 3628800 32 120 3840
gcnt1(2, 6) ... 479001600 64 720 46080
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
gcnt1(2, 2) ... 24 4 2 8
gcnt1(2, 3) ... 720 8 6 48
gcnt1(2, 4) ... 40320 16 24 384
gcnt1(2, 5) ... 3628800 32 120 3840
gcnt1(2, 6) ... 479001600 64 720 46080
gcnt1(2, 0) ... 1 1 1 1
gcnt1(2, 1) ... 2 2 1 2
